# StockTicker, ListedExchCode, CompanyName, Sector, Industry, Total_Mark, Total_Price_Valuation_Mark, Total_Stock_Holder_Mark, Total_Analyst_Mark, EpsRegressGrowth_Reuters, EpsRegressGrowth_Reuters_rm, EpsRegressGrowth_Nasdaq, EpsRegressGrowth_Nasdaq_rm, M1QEps, M1QEps_rm, M2QEps, M2QEps_rm, M3QEps, M3QEps_rm, M4QEps, M4QEps_rm, M1QvsM2Q, M1QvsM2Q_rm, M2QvsM3Q, M2QvsM3Q_rm, M3QvsM4Q, M3QvsM4Q_rm, Pe, PEG_Reuters, PEG_Reuters_rm, PEG_Nasdaq, PEG_Nasdaq_rm, PEvsIndustry, PEvsIndustry_rm, PEvsSector, PEvsSector_rm, ReturnOnEquity, ReturnOnEquity_rm, PercentageHeldByInstitutions_Nasdaq, PercentageHeldByInstitutions_Nasdaq_rm, NetSharesTradedByInstitutions, NetSharesTradedByInstitutions_rm, NetNumOfSharesTradedByInsidersIn3M, NetNumOfSharesTradedByInsidersIn3M_rm, ClosePrice, Beta, Fair_Price_PE, Fair_Price_PE_vs_Close_Price_rm, Fair_Price_PEG_Reuters, Fair_Price_PEG_Reuters_vs_Close_Price_rm, Fair_Price_PEG_Nasdaq, Fair_Price_PEG_Nasdaq_vs_Close_Price_rm, PeterLynchAnalysis_rm, BenjaminGarhamAnalysis_rm, MomentumStrategyAnalysis_rm, JamesOShaughnessyAnalysis_rm, MotleyFoolAnalysis_rm, DavidDremanAnalysis_rm, MartinZweigAnalysis_rm, KennethFisherAnalysis_rm, VolumeChange, VolumeChange_rm
'PBIB', 'IXIC', 'Porter Bancorp Inc ', 'Financials', 'Banks', '217.92357400000003', '59.397019', '0', '3.333333', '56.0083333333', '17.291894', '0', '0', '0.308', '0', '8.626', '18.248004', '0.287', '0', '0.273', '0', '-96.42939948991422', '0', '2905.574912891986', '19.640206', '5.12820512820511', '0', '1.45', '0.025889004612424275', '20.970858', NULL, '0', '-0.9168577981651376', '20.006733', '-0.9259070005109862', '18.040478', '98.23', '21.139326', '0.2295870759289176', '0', '711283', '0', '148140', '16.591419', '13.76', '1.04', '295.69234096551725', '26.442796', '1427.6926893879731', '32.954223', NULL, '0', '0', '0', '0', '0', '0', '3.333333', '0', '0', '0.7021', '3.264304'
'SNHY', 'IXIC', 'Sun Hydraulics Corp ', 'Industrials', 'Industrial Machinery & Equipment', '23.721734', '0', '0', '0', '1.71785714286', '0', '24.95', '8.692168', '0.4', '0', '0.119', '0', '0.417', '0', '0.269', '0', '236.13445378151266', '15.029566', '-71.46282973621103', '0', '55.01858736059477', '0', '42.19', '24.55966735962651', '0', '1.6909819639278556', '0', '0.7528043207312005', '0', '0.8496273564226218', '0', '8.73', '0', '0.8450736508941288', '0', '725914', '0', '20825', '0', '51', '1.68', '60.84518795923204', '0', '9.010632822795348', '0', '130.8696068605896', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4414', '0'
'PH', 'NYSE', 'Parker-Hannifin Corp ', 'Industrials', 'Industrial Machinery & Equipment', '23.632072', '0', '0', '0', '12.340476190499999', '0', '14.63', '0', '2.696', '5.303412', '2.064', '0', '2.102', '4.692939', '2.162', '7.618168', '30.620155038759698', '0', '-1.807802093244515', '0', '-2.775208140610552', '0', '24.46', '1.982095311591777', '0', '1.671907040328093', '0', '-0.07137433561123763', '0', '-0.007305194805194759', '0', '19.99', '0', '0.8273243781917734', '0', '1520990', '0', '59700', '6.017553', '177.84', '1.39', '302.7917945053148', '0', '322.1202526527246', '0', '381.88309944937544', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.2441', '0'
'SCHW', 'NYSE', 'Charles Schwab Corp ', 'Financials', 'Investment Banking & Brokerage Services', '22.99786', '0', '16.164527', '6.833333', '2.79523809524', '0', '18.01', '0', '0.548', '0', '0.44', '0', '0.425', '0', '0.392', '0', '24.54545454545456', '0', '3.529411764705892', '0', '8.418367346938771', '0', '31.75', '11.358603066431781', '0', '1.7629094947251525', '0', '0.35799828913601384', '0', '0.5874999999999999', '0', '15.92', '0', '0.8241280750971883', '0', '7902208', '16.164527', '-4159838', '0', '57.3', '1.51', '81.64773552755905', '0', '19.674556960061505', '0', '126.76514800442575', '0', '0', '0', '0', '0', '0', '0', '6.833333', '0', '-0.2284', '0'
'DIS', 'NYSE', 'Walt Disney Co ', '', 'Broadcasting', '22.848698000000002', '0', '19.260463', '3.588235', '5.7', '0', '7.59', '0', '1.912', '0', '1.856', '0', '1.129', '0', '1.505', '0', '3.0172413793103425', '0', '64.39326837909655', '0', '-24.983388704318934', '0', '15.96', '2.8000000000000003', '0', '2.1027667984189726', '0', '-0.4543589743589743', '0', '-0.17133956386292837', '0', '22.09', '0', '0.6444421810331005', '0', '12872542', '19.260463', '3370', '0', '102.2', '1.29', '247.4936289473684', '0', '121.61324870689656', '0', '161.93764169918327', '0', '0', '0', '0', '3.588235', '0', '0', '0', '0', '-0.2006', '0'
'TCBI', 'IXIC', 'Texas Capital Bancshares Inc ', 'Financials', 'Banks', '22.809186', '0', '17.975853', '4.833333', '7.657142857139999', '0', '10.67', '0', '1.38', '0', '1.191', '0', '1.119', '0', '0.969', '0', '15.8690176322418', '0', '6.434316353887404', '0', '15.479876160990713', '0', '21.43', '2.7986940298517906', '0', '2.008434864104967', '0', '0.22878440366972463', '0', '0.09504343382728653', '0', '11.65', '0', '1.0696942256953537', '17.975853', '-964996', '0', '23100', '0', '99.15', '1.73', '239.81312876808215', '0', '158.30029189611338', '0', '220.58673137546867', '0', '0', '0', '0', '0', '0', '0', '4.833333', '0', '-0.445', '0'
'FANH', 'IXIC', 'Fanhua Inc ', 'Financials', 'Property & Casualty Insurance', '22.17305', '0', '0', '0', '1.33571428571', '0', '0', '0', '0.094', '0', '0.088', '0', '0.11', '0', '0.057', '0', '6.818181818181834', '0', '-20.000000000000007', '0', '92.98245614035088', '9.17305', '26.6', '19.914438502737696', '0', NULL, '13', '0.3220675944333997', '0', '0.35922330097087385', '0', '12.39', '0', '0.22674673127211198', '0', '2019576', '0', '0', '0', '29.17', '1.68', '55.19762336842104', '0', '6.355883971589665', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.1492', '0'
'STBZ', 'IXIC', 'State Bank Financial Corp ', 'Financials', 'Banks', '20.805247', '0', '0', '3.25', '1.48214285714', '0', '11.42', '0', '0.445', '0', '0.418', '0', '0.37', '0', '0.39', '0', '6.459330143540676', '0', '12.972972972972974', '0', '-5.128205128205132', '0', '20.87', '14.080963855448832', '0', '1.8274956217162872', '0', '0.19667431192660545', '0', '0.06642820643842628', '0', '9.74', '0', '0.8012411309340716', '0', '446924', '0', '66783', '9.004392', '34.05', '0.96', '46.92693665548634', '0', '5.995898618223302', '0', '46.198760052211554', '0', '0', '0', '0', '0', '3.25', '0', '0', '0', '2.1235', '8.550855'
'FNCB', 'IXIC', 'FNCB Bancorp Inc ', 'Financials', 'Banks', '20.016399', '0', '0', '0', '0.253571428571', '0', '0', '0', '0.12', '0', '0.113', '0', '0.135', '0', '0.107', '0', '6.194690265486713', '0', '-16.296296296296298', '0', '26.16822429906542', '0', '19.36', '76.34929577477692', '0', NULL, '9', '0.11009174311926584', '0', '-0.01073071027082273', '0', '8.87', '0', '0.04406446418987417', '0', '697380', '0', '78550', '11.016399', '9.12', '0.83', '11.71450338842975', '0', '0.2560744275175821', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', NULL, '0'
'EBTC', 'IXIC', 'Enterprise Bancorp Inc ', 'Financials', 'Banks', '19.833333', '0', '0', '1.833333', '2.6630952381', '0', '0', '0', '0.583', '0', '0.644', '0', '0.472', '0', '0.48', '0', '-9.472049689440997', '0', '36.44067796610171', '0', '-1.6666666666666718', '0', '17.65', '6.627626285191546', '0', NULL, '18', '0.012041284403669472', '0', '-0.09810935104752183', '0', '11.27', '0', '0.20204296841564667', '0', '87496', '0', '26916', '0', '38.93', '0.83', '54.8496790878187', '0', '12.592234412938199', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '1.833333', '0', '0.0258', '0'
'HOLI', 'IXIC', 'Hollysys Automation Technologies Ltd ', 'Industrials', 'Electrical Components & Equipment', '19.647386', '17.049936000000002', '0', '0', '0.72619047619', '0', '21.86', '2.59745', '0.591', '0', '0.349', '0', '0.353', '0', '0.255', '0', '69.34097421203438', '0', '-1.1331444759206777', '0', '38.431372549019606', '0', '16.41', '22.597377049195146', '0', '0.7506861848124429', '0', '-0.42218309859154923', '0', '-0.28057869355545806', '0', '12.87', '0', '0.7206668821053329', '0', '684491', '0', '0', '0', '24.94', '1.65', '75.1325478976234', '1.541843', '4.703494890960615', '0', '141.58599112431443', '15.508093', '0', '0', '0', '0', '0', '0', '0', '0', '-0.5116', '0'
'HBAN', 'IXIC', 'Huntington Bancshares Inc ', 'Financials', 'Banks', '19.566829', '0', '0', '0', '1.64761904762', '0', '10.95', '0', '0.279', '0', '0.237', '0', '0.231', '0', '0.228', '0', '17.721518987341778', '0', '2.5974025974025983', '0', '1.3157894736842035', '0', '15.48', '9.39537572253792', '0', '1.4136986301369865', '0', '-0.1404775124930595', '0', '-0.22599999999999998', '0', '11.42', '0', '0.7847326960981393', '0', '-3191167', '0', '322204', '19.566829', '15.1', '1.33', '38.869945930232554', '0', '5.520936490914713', '0', '36.69188861517642', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3203', '0'
'IP', 'NYSE', 'International Paper Co ', 'Basic Materials', 'Paper Packaging', '19.45868', '0', '0', '0', '7.84047619048', '0', '9.63', '0', '0.863', '0', '0.641', '0', '0.946', '0', '0.192', '0', '34.6333853354134', '0', '-32.241014799154335', '0', '392.7083333333333', '19.45868', '21.44', '2.7345277862118507', '0', '2.2263759086188992', '0', '0.1964285714285714', '0', '-0.19790497568275345', '0', '17.87', '0', '0.8301971957854675', '0', '-546445', '0', '22869', '0', '54.13', '1.53', '115.7340047994403', '0', '78.22497491887152', '0', '96.07917812229397', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4202', '0'
'BSTC', 'IXIC', 'Biospecifics Technologies Corp ', 'Healthcare', 'Biotechnology & Medical Research', '19.018344', '0', '0', '0', '1.92023809524', '0', '1.91', '0', '0.545', '0', '0.512', '0', '0.371', '0', '0.358', '0', '6.4453125', '0', '38.00539083557952', '0', '3.6312849162011274', '0', '23.96', '12.477619342827053', '0', '12.544502617801047', '0', '-0.8987320371935756', '19.018344', '-0.2650306748466258', '0', '18.46', '0', '0.5891919878014971', '0', '-81286', '0', '0', '0', '42.81', '1.46', '78.15694484974959', '0', '12.937926112763869', '0', '12.868945229570835', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.6044', '0'
'BOSC', 'IXIC', 'BOS Better Online Solutions Ltd ', 'Industrials', 'Electrical Components & Equipment', '18.990049', '0', '0', '0', '0.42619047619', '0', '0', '0', '0.098', '0', '0.041', '0', '0.053', '0', '0.049', '0', '139.02439024390242', '7.001602', '-22.64150943396226', '0', '8.163265306122437', '0', '9.27', '21.750837988851117', '0', NULL, '4', '-0.6735915492957747', '0', '-0.5935992985532661', '7.988447', '8.22', '0', '0.0173485254691689', '0', '23566', '0', '0', '0', '2.21', '0.67', '4.785679902912622', '0', '0.17582855144096923', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.9845', '0'
'BRID', 'IXIC', 'Bridgford Foods Corp ', 'Consumer Non-Cyclicals', 'Food Processing', '17.676873', '0', '0', '8.689655', '0.47142857142899997', '0', '0', '0', '0.173', '0', '0.328', '0', '0.227', '0', '0.145', '0', '-47.25609756097562', '0', '44.493392070484575', '0', '56.55172413793106', '0', '17.46', '37.03636363632997', '0', NULL, '3', '-0.12481203007518793', '0', '-0.5577507598784194', '5.987218', '16.55', '0', '0.043427564173184975', '0', '23378', '0', '0', '0', '15.21', '1', '26.100046391752578', '0', '1.0607161710943571', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '8.689655', '-0.9933', '0'
'FSBW', 'IXIC', 'FS Bancorp Inc ', 'Financials', 'Banks', '17.01188', '0', '0', '9.818182', '1.29880952381', '0', '11.16', '0', '1.152', '0', '0.877', '0', '1.066', '0', '1.407', '0', '31.35689851767387', '0', '-17.72983114446529', '0', '-24.235963041933182', '0', '12.93', '9.955270394130173', '0', '1.1586021505376343', '0', '-0.25860091743119273', '0', '-0.339294839039346', '0', '14.73', '0', '0.511490612244898', '0', '289485', '0', '-15400', '0', '58.78', '0.47', '64.01551141531323', '0', '7.167582404980739', '0', '61.58733684438755', '0', '9.818182', '0', '0', '0', '0', '0', '0', '0', '1.7659', '7.193698'
'SAIA', 'IXIC', 'Saia Inc ', 'Industrials', 'Ground Freight & Logistics', '16.666024', '0', '12.976369', '3.689655', '3.1333333333299995', '0', '16.84', '0', '0.803', '0', '0.529', '0', '0.552', '0', '0.677', '0', '51.795841209829874', '0', '-4.166666666666674', '0', '-18.463810930576074', '0', '30.95', '9.877659574478594', '0', '1.8378859857482186', '0', '0.1497028231797919', '0', '0.35686102586584845', '0', '12.15', '0', '1.0154466510903426', '12.976369', '907726', '0', '507', '0', '81.57', '0.83', '65.53966329886914', '0', '17.703242385307885', '0', '95.14551120284104', '0', '0', '0', '0', '0', '0', '0', '0', '3.689655', '-0.2499', '0'
'ITRN', 'IXIC', 'Ituran Location and Control Ltd ', 'Industrials', 'Business Support Services', '16.276404', '0', '0', '0', '2.50952380952', '0', '0', '0', '0.469', '0', '0.502', '0', '0.499', '0', '0.619', '0', '-6.573705179282873', '0', '0.6012024048096087', '0', '-19.38610662358643', '0', '15.15', '6.037001897542371', '0', NULL, '6', '-0.5148895292987512', '0', '-0.3358176238491889', '0', '38.41', '10.276404', '0.5126734824281151', '0', '68194', '0', '0', '0', '31.7', '0.83', '52.03325881188118', '0', '11.256784644425187', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1577', '0'
'MBFI', 'IXIC', 'MB Financial Inc ', 'Financials', 'Banks', '15.038677', '0', '7.658634', '0', '2.00238095238', '0', '14.54', '0', '0.812', '0', '0.447', '0', '0.694', '0', '0.501', '0', '81.65548098434006', '0', '-35.5907780979827', '0', '38.522954091816366', '0', '20.52', '10.247800237817003', '0', '1.4112792297111418', '0', '0.17660550458715596', '0', '0.04854368932038833', '0', '7.95', '0', '0.7956638924608277', '0', '3669012', '7.658634', '-3224', '0', '51.05', '1.09', '81.24585109649124', '0', '14.0245814392686', '0', '101.83747197784331', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1.876', '7.380043'
'PATK', 'IXIC', 'Patrick Industries Inc ', '', 'Construction Supplies & Fixtures', '14.577556999999999', '0', '0', '7.588235', '1.4488095238099998', '0', '12.65', '0', '1.2', '0', '0.861', '0', '0.717', '0', '0.851', '0', '39.37282229965155', '0', '20.083682008368207', '0', '-15.746180963572264', '0', '16.48', '11.37485620377605', '0', '1.3027667984189724', '0', '-0.7713968650298239', '6.989322', '-0.1339989490278508', '0', '25.92', '0', '0.9058678889717718', '0', '-141360', '0', '19845', '0', '60.15', '0.8', '87.48321116504854', '0', '10.926423233569277', '0', '95.40195010671242', '0', '0', '0', '0', '7.588235', '0', '0', '0', '0', '-0.3517', '0'
'CBRE', 'NYSE', 'CBRE Group Inc ', 'Financials', 'Real Estate Development & Operations', '14.577103999999999', '0', '0', '9.588235', '3.7547619047599996', '0', '7', '0', '0.44', '0', '0.913', '0', '0.575', '0', '0.578', '0', '-51.80722891566265', '0', '58.78260869565219', '0', '-0.519031141868509', '0', '18.97', '5.052251109704529', '0', '2.71', '0', '-0.7641720537046246', '4.988869', '-0.0515000000000001', '0', '22.61', '0', '0.9416054836051098', '0', '479587', '0', '-5099125', '0', '47.56', '1.72', '129.19903401159726', '0', '41.81996646883939', '0', '77.96493431734318', '0', '0', '0', '0', '9.588235', '0', '0', '0', '0', '-0.4912', '0'
'OCLR', 'IXIC', 'Oclaro Inc ', 'Technology', 'Communications & Networking', '14.313934', '0', '14.313934', '0', '0.26071428571399996', '0', '-20.86', '0', '0.063', '0', '0.11', '0', '0.155', '0', '0.329', '0', '-42.72727272727273', '0', '-29.032258064516125', '0', '-52.88753799392097', '0', '13.86', '53.1616438356747', '0', '-0.6644295302013423', '0', '-0.0035945363048167644', '0', '0.19072164948453607', '0', '21.67', '0', '0.7323601642638091', '0', '7023679', '14.313934', '-219332', '0', '8.89', '0.84', '16.142623636363634', '0', '0.362811430250386', '0', '-29.028890435736674', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.7103', '0'
'BBY', 'NYSE', 'Best Buy Co Inc ', '', 'Computer & Electronics Retailers', '14.043728', '0', '0', '5.689655', '6.808333333329999', '0', '9.72', '0', '0.721', '0', '2.181', '1.50235', '0.779', '0', '0.672', '0', '-66.94176983035305', '0', '179.97432605905007', '1.004082', '15.922619047619047', '0', '15.72', '2.3089351285201025', '0', '1.6172839506172838', '0', '-0.10732538330494035', '0', '-0.18380062305295952', '0', '32.88', '1.451685', '0.8965658592996197', '0', '221866', '0', '-90804', '0', '68.45', '0.84', '109.5863599236641', '0', '64.31900578849837', '0', '91.82581193603579', '0', '0', '0', '0', '0', '0', '0', '0', '5.689655', '0.825', '4.395956'
'ANCB', 'IXIC', 'Anchor Bancorp Inc ', 'Financials', 'Banks', '14', '0', '0', '0', '5.55357142857', '0', '0', '0', '0.572', '0', '0.41', '0', '0.429', '0', '0.269', '0', '39.51219512195121', '0', '-4.428904428904435', '0', '59.47955390334572', '0', '15.15', '2.727974276528033', '0', NULL, '14', '-0.13130733944954132', '0', '-0.22585590189064897', '0', '6.22', '0', '0.45427375201288245', '0', '12639', '0', '0', '0', '25.45', '0.72', '36.237977821782174', '0', '17.349155022431276', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0'
'SLM', 'IXIC', 'SLM Corp ', 'Financials', 'Consumer Lending', '13.97604', '0', '13.97604', '0', '0.983333333333', '0', '17.82', '0', '0.227', '0', '0.134', '0', '0.167', '0', '0.152', '0', '69.40298507462686', '0', '-19.760479041916167', '0', '9.868421052631593', '0', '17.14', '17.43050847458218', '0', '0.9618406285072952', '0', '-0.578248031496063', '0', '-0.12416964741951964', '0', '14.64', '0', '1.0185233984375', '13.97604', '210260', '0', '-285117', '0', '11.61', '1.21', '24.55630829054842', '0', '2.0816410763532556', '0', '37.72357014979076', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.5514', '0'
'OKE', 'NYSE', 'ONEOK Inc ', 'Energy', 'Oil & Gas Transportation Services', '13.859061', '0', '13.859061', '0', '2.43452380952', '0', '5.98', '0', '0.641', '0', '0.526', '0', '0.432', '0', '0.334', '0', '21.863117870722437', '0', '21.759259259259256', '0', '29.34131736526946', '0', '35.02', '14.38474327630613', '0', '5.8561872909699', '0', '-0.20948081264108342', '0', '1.102040816326531', '0', '12.13', '0', '0.7089389747881171', '0', '6628530', '13.859061', '-118220', '0', '66.73', '1.34', '76.50081925185607', '0', '16.05543671693359', '0', '39.43749130397409', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3447', '0'
'GBNK', 'IXIC', 'Guaranty Bancorp ', 'Financials', 'Banks', '13.552745', '0', '0', '0', '0.2', '0', '9.91', '0', '0.467', '0', '0.331', '0', '0.358', '0', '0.36', '0', '41.08761329305135', '0', '-7.541899441340771', '0', '-0.5555555555555536', '0', '21.84', '109.19999999999999', '0', '2.203834510595358', '0', '0.2522935779816513', '0', '0.11599386816555946', '0', '11.26', '0', '0.7148187743124275', '0', '123464', '0', '-11922', '0', '33.25', '0.91', '41.50846875', '0', '0.7156632543103449', '0', '35.461114251077596', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5.5901', '13.552745'
'WERN', 'IXIC', 'Werner Enterprises Inc ', 'Industrials', 'Ground Freight & Logistics', '13.513184', '0', '0', '13.513184', '2.18571428571', '0', '16.46', '0', '0.383', '0', '0.421', '0', '0.31', '0', '0.32', '0', '-9.02612826603325', '0', '35.80645161290321', '0', '-3.125', '0', '26.63', '12.183660130742844', '0', '1.617861482381531', '0', '-0.010772659732540935', '0', '0.16747040771591415', '0', '9.37', '0', '0.6893928893576275', '0', '995791', '0', '-9866', '0', '38.65', '1.01', '43.91936073976718', '0', '8.27544605070345', '0', '62.32005842901446', '0', '0', '0', '10.823529', '0', '0', '0', '0', '2.689655', '-0.5802', '0'
'CA', 'IXIC', 'CA Inc ', 'Technology', 'Software', '13.334858', '0', '9.328885', '0', '6.10238095238', '0', '3.71', '0', '1.195', '0', '0.545', '0', '0.435', '0', '0.422', '0', '119.26605504587155', '4.005973', '25.287356321839095', '0', '3.08056872037914', '0', '13.69', '2.2433866562625426', '0', '3.6900269541778976', '0', '-0.6129488266892846', '0', '0.17008547008547015', '0', '18.61', '0', '0.7050654939509359', '0', '4182016', '9.328885', '-1168362', '0', '35.56', '0.67', '52.142207246165086', '0', '27.430311406383474', '0', '16.67651628304073', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.2443', '0'
'COHU', 'IXIC', 'Cohu Inc ', 'Technology', 'Semiconductor Equipment & Testing', '13.133756', '0', '0', '0', '6.37738095238', '0', '19.08', '0', '0.28', '0', '0.655', '0', '0.301', '0', '0.373', '0', '-57.25190839694656', '0', '117.60797342192694', '0', '-19.3029490616622', '0', '15.21', '2.3849915997763502', '0', '0.7971698113207548', '0', '-0.1874999999999999', '0', '0.30670103092783507', '0', '17.32', '0', '0.8919138150452489', '0', '803737', '0', '111517', '13.133756', '24.44', '0.97', '46.69818769230769', '0', '25.673459715481826', '0', '76.81046734217504', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1852', '0'
'ANIP', 'IXIC', 'ANI Pharmaceuticals Inc ', 'Healthcare', 'Biotechnology & Medical Research', '13.051669', '0', '0', '0', '3.3869047619000003', '0', '1.29', '0', '0.191', '0', '0.332', '0', '0.401', '0', '0.228', '0', '-42.4698795180723', '0', '-17.206982543640905', '0', '75.87719298245614', '7.056227', '54.21', '16.00576449914377', '0', '42.02325581395349', '0', '-0.7708791208791208', '5.995442', '0.6628834355828221', '0', '7.63', '0', '0.5681055703373101', '0', '166941', '0', '-293125', '0', '62.94', '2.89', '100.53134168234642', '0', '29.35259309173578', '0', '11.179778514674732', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4134', '0'
'MSFG', 'IXIC', 'MainSource Financial Group Inc ', 'Financials', 'Banks', '12.825484', '0', '0', '0', '1.7857142857100001', '0', '0', '0', '0.542', '0', '0.428', '0', '0.378', '0', '0.491', '0', '26.635514018691598', '0', '13.227513227513231', '0', '-23.014256619144604', '0', '22.11', '12.381600000029716', '0', NULL, '0', '0.13442791174961521', '0', '0.11779575328614755', '0', '9.55', '0', '0', '0', '0', '0', '0', '0', '40.65', '0.89', '49.02505827679782', '0', '7.5469609416071695', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '7.6673', '12.825484'
'OSBC', 'IXIC', 'Old Second Bancorp Inc ', 'Financials', 'Banks', '12.434116', '0', '0', '0', '2.65', '0', '11.31', '0', '0.315', '0', '0.235', '0', '0.268', '0', '0.182', '0', '34.04255319148937', '0', '-12.313432835820903', '0', '47.25274725274726', '0', '15.48', '5.841509433962265', '0', '1.3687002652519893', '0', '-0.11238532110091748', '0', '-0.2089933571793562', '0', '15.36', '0', '0.695839977047963', '0', '-431519', '0', '103752', '12.434116', '15.35', '0.71', '21.09366656976744', '0', '4.818811759472734', '0', '20.566324905523253', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.212', '0'
'PAYX', 'IXIC', 'Paychex Inc ', 'Industrials', 'Employment Services', '12.053933', '0', '0', '0', '0.8488095238100001', '0', '11.67', '0', '0.562', '0', '0.6', '0', '0.631', '0', '0.539', '0', '-6.333333333333324', '0', '-4.912836767036454', '0', '17.068645640074198', '0', '27.82', '32.77531556800405', '0', '2.3838903170522707', '0', '-0.2850167052171677', '0', '0.12905844155844148', '0', '42.1', '12.053933', '0.6911997076715342', '0', '-606108', '0', '-110640', '0', '65.57', '0.97', '68.49771699856218', '0', '5.012199529967388', '0', '68.91106529079488', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3272', '0'
'KE', 'IXIC', 'Kimball Electronics Inc ', 'Industrials', 'Electrical Components & Equipment', '12', '0', '0', '0', '1.50119047619', '0', '0', '0', '0.4', '0', '0.308', '0', '0.314', '0', '0.299', '0', '29.87012987012987', '0', '-1.9108280254777066', '0', '5.0167224080267525', '0', '14.04', '9.352577319590596', '0', NULL, '12', '-0.5056338028169014', '0', '-0.38448049101271375', '0', '10.29', '0', '0.6048164824873572', '0', '110503', '0', '0', '0', '18.45', '1.04', '40.9467', '0', '5.299034144086989', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4285', '0'
'LECO', 'IXIC', 'Lincoln Electric Holdings Inc ', 'Industrials', 'Industrial Machinery & Equipment', '11.877801999999999', '0', '0', '5.833333', '6.153571428569999', '0', '12.13', '0', '0.92', '0', '0.792', '0', '1.591', '0', '0.919', '0', '16.161616161616156', '0', '-50.219987429289745', '0', '73.12295973884657', '6.044469', '21.13', '3.433778293674622', '0', '1.7419620774938167', '0', '-0.12214374740340683', '0', '-0.07365190705830771', '0', '31.87', '0', '0.6746072511234671', '0', '-990490', '0', '0', '0', '89.26', '1.12', '141.7528217321344', '0', '75.19707876983094', '0', '148.2294592767923', '0', '0', '5.833333', '0', '0', '0', '0', '0', '0', '-0.5307', '0'
'RHI', 'NYSE', 'Robert Half International Inc ', 'Industrials', 'Employment Services', '11.586207', '0', '0', '11.586207', '1.1964285714299998', '0', '9.97', '0', '0.807', '0', '0.722', '0', '0.682', '0', '0.642', '0', '11.772853185595578', '0', '5.8651026392961825', '0', '6.230529595015577', '0', '19.82', '16.565970149233955', '0', '1.987963891675025', '0', '-0.4906193780519146', '0', '-0.19561688311688308', '0', '30.1', '0', '0.8982929436805516', '0', '-379394', '0', '3784', '0', '63.89', '1.28', '123.62192791120081', '0', '12.75041436277762', '0', '106.25091562712691', '0', '0', '0', '0', '0', '0', '0', '0', '11.586207', '-0.0577', '0'
'MCRI', 'IXIC', 'Monarch Casino & Resort Inc ', '', 'Casinos & Gaming', '11.258545', '0', '0', '7.588235', '0.141666666667', '0', '22.7', '3.67031', '0.36', '0', '0.313', '0', '0.491', '0', '0.398', '0', '15.015974440894574', '0', '-36.252545824847246', '0', '23.366834170854254', '0', '29.9', '211.05882352891513', '0', '1.3171806167400881', '0', '-0.2595344229816742', '0', '0.5712033631108775', '0', '11.35', '0', '0.628317692440555', '0', '29210', '0', '0', '0', '46.4', '1.17', '54.39875478260869', '0', '0.6643526086972154', '0', '106.4527356521739', '0', '0', '0', '7.588235', '0', '0', '0', '0', '0', '-0.5804', '0'
'HBNC', 'IXIC', 'Horizon Bancorp Inc ', 'Financials', 'Banks', '10.838235000000001', '0', '0', '10.838235000000001', '2.28452380952', '0', '7.78', '0', '0.501', '0', '0.398', '0', '0.36', '0', '0.406', '0', '25.879396984924607', '0', '10.555555555555562', '0', '-11.330049261083753', '0', '18.78', '8.220531526850603', '0', '2.4138817480719794', '0', '0.076834862385321', '0', '-0.04036791006642815', '0', '9.92', '0', '0.5153979500019561', '0', '-205966', '0', '-92', '0', '31.23', '1.11', '55.303889952076666', '0', '10.891642530568369', '0', '37.09174688165143', '0', '0', '0', '1.588235', '0', '9.25', '0', '0', '0', '-0.3022', '0'
